Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1628392,Isaiah Hartenstein,Isaiah,Hartenstein,94.85,71.3,541.7,591.0,169.7,62.3,70.3,58.7,68.6,18.3
1630573,Sam Hauser,Sam,Hauser,95.25,76.7,609.7,234.7,72.3,36.7,19.7,45.1,86.7,41.9
1641722,Jordan Hawkins,Jordan,Hawkins,94.58,61.5,564.0,153.0,68.0,24.5,15.0,37.7,82.7,34.8
1629637,Jaxson Hayes,Jaxson,Hayes,94.72,57.7,306.3,204.0,41.7,28.3,33.0,66.4,64.8,3.4
1630165,Killian Hayes,Killian,Hayes,94.52,41.3,376.3,119.3,235.3,48.0,17.3,40.3,77.1,31.9
1630703,Scoot Henderson,Scoot,Henderson,94.61,64.0,852.5,196.0,335.5,58.0,13.0,40.2,79.3,34.0
1641707,Taylor Hendricks,Taylor,Hendricks,94.17,21.5,153.0,100.0,17.0,16.5,17.0,33.6,77.2,31.4
1629639,Tyler Herro,Tyler,Herro,95.18,62.0,1354.0,327.0,297.3,50.0,12.0,45.1,88.9,38.3
1627741,Buddy Hield,Buddy,Hield,95.02,55.3,641.7,177.7,123.3,46.3,21.7,42.9,86.6,38.1
1629312,Haywood Highsmith,Haywood,Highsmith,94.59,64.7,373.0,216.7,75.0,52.3,28.0,45.1,60.8,37.2
1628988,Aaron Holiday,Aaron,Holiday,95.09,67.7,367.0,91.7,104.0,32.7,9.7,43.4,86.5,39.8
201950,Jrue Holiday,Jrue,Holiday,95.24,66.0,945.3,326.3,355.7,68.7,35.0,46.7,86.7,38.9
1641842,Ronald Holland II,Ronald,Holland II,94.59,81.0,522.0,218.0,82.0,49.0,17.0,47.4,75.4,23.8
1626158,Richaun Holmes,Richaun,Holmes,94.77,23.7,143.0,119.7,22.3,6.7,14.0,58.8,75.0,11.1
1641747,DaRon Holmes II,DaRon,Holmes II,0.0,,,,,,,,,
1631096,Chet Holmgren,Chet,Holmgren,95.22,57.0,918.0,452.5,131.5,38.0,130.5,51.0,77.4,37.4
1641720,Jalen Hood-Schifino,Jalen,Hood-Schifino,93.32,10.0,70.7,18.0,24.7,3.3,4.7,58.3,90.0,20.3
201143,Al Horford,Al,Horford,95.23,62.7,572.0,390.7,161.7,34.7,58.0,47.0,82.5,40.9
1629659,Talen Horton-Tucker,Talen,Horton-Tucker,94.6,58.0,531.0,143.7,168.7,35.7,19.7,42.4,76.4,31.7
1631216,Caleb Houstan,Caleb,Houstan,94.75,56.0,228.3,86.0,31.3,16.3,5.7,39.1,84.1,37.0
1641724,Jett Howard,Jett,Howard,93.83,39.0,148.0,38.5,25.0,7.5,6.5,35.4,59.8,28.8
1628989,Kevin Huerter,Kevin,Huerter,94.57,46.0,454.0,136.7,104.0,44.0,15.3,42.6,71.4,33.9
1630643,Jay Huff,Jay,Huff,95.91,30.3,171.0,53.7,16.7,7.0,21.0,57.2,90.8,41.3
1630574,Ariel Hukporti,Ariel,Hukporti,85.98,25.0,48.0,51.0,11.0,1.0,15.0,67.7,46.2,0.0
1629631,De'Andre Hunter,De'Andre,Hunter,95.27,42.7,725.3,172.0,61.3,33.3,8.7,47.2,84.2,40.8
1630538,Bones Hyland,Bones,Hyland,90.44,16.0,99.3,16.7,21.3,12.0,2.7,48.5,59.0,42.6
1642345,Oso Ighodaro,Oso,Ighodaro,94.18,61.0,255.0,222.0,71.0,28.0,29.0,60.4,58.0,0.0
204060,Joe Ingles,Joe,Ingles,94.05,44.3,209.3,93.7,125.3,26.0,3.7,37.7,56.0,34.8
1627742,Brandon Ingram,Brandon,Ingram,95.21,42.3,948.0,223.3,239.3,32.7,23.3,48.0,84.6,37.3
1631127,Harrison Ingram,Harrison,Ingram,29.93,5.0,4.0,9.0,3.0,3.0,0.0,50.0,0.0,0.0
202681,Kyrie Irving,Kyrie,Irving,95.42,49.3,1268.3,244.7,247.0,60.3,28.0,48.5,90.1,39.5
1628371,Jonathan Isaac,Jonathan,Isaac,94.57,46.7,276.0,206.0,25.3,39.3,51.3,44.6,65.3,34.4
1631093,Jaden Ivey,Jaden,Ivey,94.75,60.3,972.3,225.3,267.3,48.7,23.0,43.5,74.3,36.3
1641713,GG Jackson,GG,Jackson,94.52,38.5,454.0,144.0,44.0,20.0,14.5,40.0,73.8,34.7
1630543,Isaiah Jackson,Isaiah,Jackson,94.45,42.7,291.0,182.7,35.3,22.7,54.0,61.2,62.2,4.8
1631245,Quenton Jackson,Quenton,Jackson,89.04,13.3,73.3,18.7,23.3,8.7,2.0,30.9,84.9,15.3
202704,Reggie Jackson,Reggie,Jackson,94.75,60.3,554.0,113.7,195.3,35.7,7.3,41.1,83.1,34.3
1641748,Andre Jackson Jr.,Andre,Jackson Jr.,94.82,62.0,177.5,147.5,66.5,25.0,10.0,48.8,61.4,38.2
1628991,Jaren Jackson Jr.,Jaren,Jackson Jr.,95.03,67.7,1433.3,402.7,120.7,79.0,136.0,47.9,79.2,35.0
1631218,Trayce Jackson-Davis,Trayce,Jackson-Davis,94.33,65.0,473.5,326.0,93.0,26.0,57.0,63.9,57.0,0.0
1642355,Bronny James,Bronny,James,91.98,27.0,62.0,18.0,22.0,9.0,3.0,31.3,78.6,28.1
2544,LeBron James,LeBron,James,95.23,65.3,1707.3,507.0,513.0,69.7,36.3,51.8,76.7,36.9
