Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1641879,Yuri Collins,Yuri,Collins,20.79,2.0,2.0,3.0,4.0,2.0,0.0,33.3,0.0,0.0
1628380,Zach Collins,Zach,Collins,88.57,42.7,271.3,192.0,74.0,19.3,19.3,50.3,88.5,30.2
201144,Mike Conley,Mike,Conley,90.1,71.3,749.7,194.0,406.0,80.0,15.0,42.8,88.2,41.2
1626192,Pat Connaughton,Pat,Connaughton,88.27,59.3,370.0,210.3,102.7,28.7,13.7,43.2,73.1,33.5
1641731,Bilal Coulibaly,Bilal,Coulibaly,88.19,61.0,629.5,275.0,154.5,67.5,44.5,42.8,72.4,31.4
1641741,Ricky Council IV,Ricky,Council IV,87.98,52.5,352.5,130.0,56.5,20.0,7.0,43.2,77.5,31.6
1628470,Torrey Craig,Torrey,Craig,85.49,17.3,72.0,48.7,11.3,5.3,8.0,42.2,68.1,36.1
1642384,Isaiah Crawford,Isaiah,Crawford,39.3,15.0,13.0,8.0,1.0,1.0,2.0,45.5,50.0,20.0
