Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1641879,Yuri Collins,Yuri,Collins,20.79,2.0,2.0,3.0,4.0,2.0,0.0,33.3,0.0,0.0
1628380,Zach Collins,Zach,Collins,88.57,42.7,271.3,192.0,74.0,19.3,19.3,50.3,88.5,30.2
201144,Mike Conley,Mike,Conley,90.1,71.3,749.7,194.0,406.0,80.0,15.0,42.8,88.2,41.2
1626192,Pat Connaughton,Pat,Connaughton,88.27,59.3,370.0,210.3,102.7,28.7,13.7,43.2,73.1,33.5
1641731,Bilal Coulibaly,Bilal,Coulibaly,88.19,61.0,629.5,275.0,154.5,67.5,44.5,42.8,72.4,31.4
1641741,Ricky Council IV,Ricky,Council IV,87.98,52.5,352.5,130.0,56.5,20.0,7.0,43.2,77.5,31.6
1628470,Torrey Craig,Torrey,Craig,85.49,17.3,72.0,48.7,11.3,5.3,8.0,42.2,68.1,36.1
1642384,Isaiah Crawford,Isaiah,Crawford,39.3,15.0,13.0,8.0,1.0,1.0,2.0,45.5,50.0,20.0
203109,Jae Crowder,Jae,Crowder,86.36,25.7,153.0,83.3,33.0,17.7,5.0,40.6,79.6,35.1
1630595,Cade Cunningham,Cade,Cunningham,88.27,48.0,1158.0,255.7,391.3,45.7,27.3,44.4,85.1,33.0
203552,Seth Curry,Seth,Curry,88.13,40.0,247.3,65.7,39.3,18.0,5.3,43.7,88.9,37.6
201939,Stephen Curry,Stephen,Curry,90.37,66.7,1774.0,327.0,384.0,62.0,26.0,46.4,92.4,41.1
1642359,Pacôme Dadiet,Pacôme,Dadiet,73.41,18.0,30.0,18.0,5.0,3.0,2.0,32.3,66.7,31.6
1630700,Dyson Daniels,Dyson,Daniels,88.26,65.3,551.3,291.0,210.3,119.0,30.3,45.3,62.8,32.2
1642368,N'Faly Dante,N'Faly,Dante,63.27,4.0,24.0,21.0,2.0,1.0,5.0,76.9,80.0,0.0
203076,Anthony Davis,Anthony,Davis,87.2,34.0,840.7,393.3,120.7,39.3,73.3,50.2,75.0,27.1
1631098,Johnny Davis,Johnny,Davis,85.5,37.3,131.7,58.3,23.7,14.3,8.0,40.0,56.7,27.8
1629056,Terence Davis,Terence,Davis,83.59,31.7,247.3,78.0,36.0,22.7,7.7,28.2,53.6,23.2
1631120,JD Davison,JD,Davison,67.43,12.0,22.7,10.7,11.3,2.7,1.3,39.7,65.5,31.2
201942,DeMar DeRozan,DeMar,DeRozan,90.49,76.7,1807.7,327.0,380.0,78.3,37.7,48.7,86.1,32.8
1642484,RayJ Dennis,RayJ,Dennis,79.1,11.0,30.0,12.0,14.0,7.0,2.0,33.3,100.0,28.6
1628978,Donte DiVincenzo,Donte,DiVincenzo,89.61,71.7,886.7,283.3,231.0,92.3,21.0,43.3,78.3,39.8
1631217,Moussa Diabaté,Moussa,Diabaté,86.5,34.7,163.7,170.7,21.3,19.3,16.3,54.4,62.1,16.7
1641711,Gradey Dick,Gradey,Dick,88.74,57.0,643.5,162.5,83.0,41.0,6.0,41.8,86.1,35.8
1631172,Ousmane Dieng,Ousmane,Dieng,86.64,36.3,156.0,79.0,38.0,13.0,6.3,42.5,73.8,29.6
1642265,Rob Dillingham,Rob,Dillingham,80.09,49.0,219.0,50.0,98.0,20.0,1.0,44.1,53.3,33.8
203915,Spencer Dinwiddie,Spencer,Dinwiddie,88.65,61.0,619.3,153.7,257.7,44.7,17.3,40.2,82.9,35.3
1629029,Luka Dončić,Luka,Dončić,87.27,33.3,938.7,272.7,255.3,59.3,14.0,45.1,78.0,36.7
1629652,Luguentz Dort,Luguentz,Dort,89.51,74.7,864.0,307.0,127.3,75.3,36.3,42.0,77.2,37.9
1630245,Ayo Dosunmu,Ayo,Dosunmu,89.8,67.3,725.7,199.0,218.7,57.7,26.7,49.5,80.0,34.8
1630288,Jeff Dowtin Jr.,Jeff,Dowtin Jr.,87.09,26.0,132.7,34.3,45.3,13.3,5.3,49.4,71.7,39.6
1628408,PJ Dozier,PJ,Dozier,81.5,14.3,42.0,27.3,14.7,6.0,2.3,44.5,31.2,36.8
203083,Andre Drummond,Andre,Drummond,87.49,62.0,451.7,487.3,34.7,52.3,31.0,55.4,58.3,5.0
1630537,Chris Duarte,Chris,Duarte,87.26,40.7,209.3,80.3,39.0,17.7,5.7,40.4,79.5,35.4
1642505,Alex Ducas,Alex,Ducas,70.16,21.0,36.0,26.0,5.0,5.0,0.0,40.0,100.0,47.6
1630561,David Duke Jr.,David,Duke Jr.,76.75,11.0,42.3,14.7,10.0,4.3,0.3,48.2,73.5,36.1
1627739,Kris Dunn,Kris,Dunn,88.65,54.0,373.7,180.0,196.0,73.7,21.7,48.2,71.5,39.2
1642346,Ryan Dunn,Ryan,Dunn,87.8,74.0,511.0,267.0,57.0,44.0,40.0,43.0,48.7,31.1
201142,Kevin Durant,Kevin,Durant,90.54,61.3,1681.7,394.0,292.0,51.0,78.3,53.7,87.1,41.6
1631105,Jalen Duren,Jalen,Duren,89.17,68.7,790.3,703.7,143.7,43.7,65.0,65.3,69.0,0.0
1631106,Tari Eason,Tari,Eason,88.26,53.7,553.7,337.0,66.0,74.7,38.7,46.7,71.6,34.8
1641744,Zach Edey,Zach,Edey,90.1,66.0,610.0,548.0,65.0,36.0,85.0,58.0,70.9,34.6
1630162,Anthony Edwards,Anthony,Edwards,90.29,79.0,2057.3,446.0,371.3,105.7,50.3,45.6,81.0,37.4
1642399,Jesse Edwards,Jesse,Edwards,1.62,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1642348,Justin Edwards,Justin,Edwards,87.53,44.0,445.0,148.0,69.0,45.0,16.0,45.5,69.6,36.3
1630556,Kessler Edwards,Kessler,Edwards,85.96,36.0,92.0,57.0,19.7,10.7,8.3,38.7,66.0,32.0
1631165,Keon Ellis,Keon,Ellis,88.59,51.0,333.3,114.7,70.3,59.0,31.0,46.3,72.1,45.0
203954,Joel Embiid,Joel,Embiid,88.66,41.3,1329.3,418.3,192.7,42.0,65.3,50.7,87.4,33.9
1630623,Tyson Etienne,Tyson,Etienne,71.51,7.0,55.0,9.0,12.0,3.0,1.0,32.7,80.0,29.5
1629234,Drew Eubanks,Drew,Eubanks,88.62,40.7,186.7,150.7,36.0,8.0,26.0,58.4,69.3,36.7
1641787,Tosan Evbuomwan,Tosan,Evbuomwan,84.15,15.0,122.7,60.0,23.7,10.0,5.0,42.2,47.8,32.6
203957,Danté Exum,Danté,Exum,86.51,27.0,208.3,66.3,75.3,12.7,3.3,46.5,67.4,36.9
1628981,Bruno Fernando,Bruno,Fernando,85.82,31.0,155.3,122.0,31.3,11.7,22.7,54.3,70.0,0.0
1642271,Kyle Filipowski,Kyle,Filipowski,89.41,72.0,690.0,440.0,140.0,48.0,22.0,50.2,65.0,35.0
1627827,Dorian Finney-Smith,Dorian,Finney-Smith,87.47,42.0,366.0,164.7,60.0,38.7,15.3,45.0,66.9,41.5
1641745,Adam Flagler,Adam,Flagler,70.86,19.5,34.0,13.5,8.0,4.0,1.5,20.2,25.0,18.0
1642280,Trentyn Flowers,Trentyn,Flowers,22.17,6.0,11.0,4.0,0.0,0.0,0.0,36.4,100.0,0.0
1630201,Malachi Flynn,Malachi,Flynn,82.17,16.3,68.0,26.0,28.7,7.3,2.0,39.5,80.8,30.3
1631323,Simone Fontecchio,Simone,Fontecchio,88.35,47.0,379.3,153.7,55.3,25.0,11.7,44.4,82.6,38.4
1628368,De'Aaron Fox,De'Aaron,Fox,87.75,41.3,972.7,198.7,261.3,60.7,16.7,45.9,82.5,30.2
1642402,Enrique Freeman,Enrique,Freeman,83.08,22.0,46.0,30.0,9.0,3.0,3.0,43.2,68.4,10.0
1628365,Markelle Fultz,Markelle,Fultz,88.05,41.3,411.0,130.7,162.7,46.3,14.3,46.8,82.7,34.4
1642277,Johnny Furphy,Johnny,Furphy,87.44,50.0,103.0,71.0,19.0,18.0,11.0,38.0,81.8,30.0
1629655,Daniel Gafford,Daniel,Gafford,88.24,43.7,505.0,316.7,65.0,29.3,85.0,72.4,66.7,0.0
1629636,Darius Garland,Darius,Garland,89.95,67.0,1354.0,183.7,472.3,83.3,9.0,46.0,85.8,39.4
1630585,Marcus Garrett,Marcus,Garrett,73.07,8.0,20.5,14.5,10.0,4.0,2.5,32.2,57.5,31.2
1630568,Luka Garza,Luka,Garza,83.78,30.7,139.3,49.3,11.0,4.3,2.0,50.6,73.1,30.6
1641718,Keyonte George,Keyonte,George,89.1,71.0,1049.5,232.0,354.5,41.0,8.0,39.1,83.3,33.8
1642273,Kyshawn George,Kyshawn,George,88.24,68.0,590.0,285.0,169.0,68.0,50.0,37.2,75.3,32.2
202331,Paul George,Paul,George,89.23,57.0,1222.7,316.3,242.7,90.3,25.7,45.3,86.4,38.1
201959,Taj Gibson,Taj,Gibson,85.81,20.3,53.0,55.3,11.3,4.3,8.7,49.0,53.3,40.0
1630581,Josh Giddey,Josh,Giddey,89.93,75.3,1089.3,559.7,452.7,64.0,40.0,47.4,77.3,34.7
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,90.91,73.0,2291.0,374.3,440.7,131.0,69.7,52.1,89.2,35.8
1630264,Anthony Gill,Anthony,Gill,88.08,53.3,171.0,86.3,28.0,9.7,8.3,49.9,73.2,23.5
1631221,Collin Gillespie,Collin,Gillespie,85.44,28.5,140.5,49.5,52.5,17.0,2.5,44.7,76.6,41.4
203497,Rudy Gobert,Rudy,Gobert,89.32,72.7,955.3,860.3,105.3,54.7,120.3,66.3,65.2,0.0
1630692,Jordan Goodwin,Jordan,Goodwin,86.16,28.7,176.3,121.7,65.7,26.0,9.7,39.2,77.1,32.7
203932,Aaron Gordon,Aaron,Gordon,89.65,64.0,956.7,388.0,208.7,44.3,36.7,55.0,69.2,35.8
201569,Eric Gordon,Eric,Gordon,88.84,58.7,623.7,100.7,129.0,45.0,22.3,43.8,78.9,38.6
1641789,Jazian Gortman,Jazian,Gortman,53.21,16.0,24.0,5.0,6.0,2.0,1.0,39.1,50.0,36.4
203924,Jerami Grant,Jerami,Grant,88.74,54.7,1033.0,212.3,134.3,45.7,44.3,43.3,82.6,38.9
1631260,AJ Green,AJ,Green,89.19,54.7,315.7,94.3,53.3,17.3,3.7,42.5,90.3,41.8
