Player ID,Full Name,First Name,Last Name,Position,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg),Rating
203081,Damian Lillard,Damian,Lillard,damian_lillard,63.0,26.92063492063492,4.597883597883598,7.105820105820106,1.0158730158730158,0.2433862433862434,0.445,0.9183333333333334,0.367,82.26
1641726,Dereck Lively II,Dereck,Lively II,dereck_lively_ii,45.5,8.758241758241759,7.1208791208791204,1.5934065934065933,0.6153846153846154,1.4615384615384615,0.7244999999999999,0.5680000000000001,0.0,50.43
1641753,Chris Livingston,Chris,Livingston,chris_livingston,21.0,1.3333333333333333,1.3333333333333333,0.23809523809523808,0.16666666666666666,0.0,0.4165,0.75,0.1,0.0
1626172,Kevon Looney,Kevon,Looney,kevon_looney,77.33333333333333,5.413793103448277,7.073275862068966,1.9741379310344827,0.5431034482758621,0.5,0.5803333333333334,0.6156666666666667,0.13333333333333333,41.64
201572,Brook Lopez,Brook,Lopez,brook_lopez,79.0,13.79746835443038,5.611814345991561,1.5569620253164558,0.5485232067510549,2.2362869198312234,0.5083333333333333,0.8103333333333333,0.371,61.07
201567,Kevin Love,Kevin,Love,kevin_love,46.666666666666664,7.9714285714285715,5.935714285714286,1.8071428571428572,0.35,0.18571428571428572,0.3953333333333333,0.7873333333333333,0.3453333333333333,42.27
200768,Kyle Lowry,Kyle,Lowry,kyle_lowry,39.333333333333336,6.8559322033898304,2.7627118644067794,3.85593220338983,0.9491525423728814,0.3220338983050847,0.4086666666666667,0.8353333333333333,0.3753333333333333,43.32
1641754,Seth Lundy,Seth,Lundy,seth_lundy,9.0,1.5555555555555556,0.7777777777777778,0.0,0.0,0.0,0.235,0.75,0.231,0.0
1626168,Trey Lyles,Trey,Lyles,trey_lyles,67.0,7.124378109452736,4.343283582089552,1.0945273631840795,0.42288557213930345,0.36318407960199,0.441,0.7383333333333333,0.36233333333333334,39.31
1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,sandro_mamukelashvili,43.666666666666664,4.824427480916031,2.9770992366412217,0.8625954198473282,0.2519083969465649,0.25954198473282447,0.43366666666666664,0.7143333333333333,0.2963333333333333,31.35
1629611,Terance Mann,Terance,Mann,terance_mann,44.666666666666664,7.716417910447762,2.970149253731343,1.8059701492537314,0.7014925373134329,0.22388059701492538,0.49433333333333335,0.6923333333333334,0.367,40.76
1630544,Tre Mann,Tre,Mann,tre_mann,18.0,10.462962962962964,3.4629629629629632,3.7777777777777777,1.074074074074074,0.12962962962962965,0.4626666666666667,0.888,0.395,50.9
1628374,Lauri Markkanen,Lauri,Markkanen,lauri_markkanen,56.0,22.982142857142858,7.720238095238095,1.8035714285714286,0.744047619047619,0.48214285714285715,0.4673333333333334,0.8833333333333333,0.3786666666666667,72.11
1630230,Naji Marshall,Naji,Marshall,naji_marshall,70.66666666666667,9.801886792452828,3.995283018867924,2.4764150943396226,0.8160377358490565,0.17452830188679244,0.468,0.7976666666666667,0.3216666666666667,46.19
1628997,Caleb Martin,Caleb,Martin,caleb_martin,30.0,7.911111111111111,3.933333333333333,2.111111111111111,1.0222222222222224,0.5111111111111112,0.416,0.6229999999999999,0.3293333333333333,42.75
1628998,Cody Martin,Cody,Martin,cody_martin,35.333333333333336,6.754716981132074,4.226415094339623,1.981132075471698,1.0566037735849056,0.6037735849056604,0.40066666666666667,0.7163333333333334,0.23966666666666667,40.74
1641798,Jaylen Martin,Jaylen,Martin,jaylen_martin,10.666666666666666,4.875,2.75,1.0625000000000002,0.5625,0.0,0.44533333333333336,0.6,0.5256666666666667,34.35
1630231,KJ Martin,KJ,Martin,kenyon_martin_jr,28.666666666666668,6.372093023255814,2.9069767441860463,1.1162790697674418,0.3953488372093023,0.5116279069767441,0.5526666666666666,0.7789999999999999,0.2763333333333334,37.8
1631213,Tyrese Martin,Tyrese,Martin,tyrese_martin,38.0,7.157894736842105,3.039473684210526,1.631578947368421,0.4605263157894737,0.11842105263157894,0.3985,0.8965000000000001,0.247,36.25
1629726,Garrison Mathews,Garrison,Mathews,garrison_mathews,52.666666666666664,5.6455696202531644,1.5253164556962024,0.759493670886076,0.43670886075949367,0.17088607594936708,0.40199999999999997,0.8473333333333333,0.3906666666666667,32.29
1631097,Bennedict Mathurin,Bennedict,Mathurin,bennedict_mathurin,69.66666666666667,15.85645933014354,4.473684210526316,1.7751196172248804,0.6220095693779905,0.24401913875598086,0.446,0.8266666666666667,0.3456666666666666,54.35
1631255,Karlo Matković,Karlo,Matković,karlo_matkovic,42.0,7.738095238095238,4.976190476190476,1.0952380952380953,0.5238095238095238,0.9761904761904762,0.574,0.773,0.318,45.84
1630178,Tyrese Maxey,Tyrese,Maxey,tyrese_maxey,60.666666666666664,24.192307692307693,3.340659340659341,5.2857142857142865,1.1483516483516485,0.34065934065934067,0.45599999999999996,0.8639999999999999,0.3813333333333333,74.31
1630540,Miles McBride,Miles,McBride,miles_mcbride,65.33333333333333,7.117346938775511,1.5867346938775513,1.903061224489796,0.7857142857142858,0.163265306122449,0.4053333333333334,0.7799999999999999,0.3593333333333333,36.96
1642272,Jared McCain,Jared,McCain,tmp_jared_mccain,23.0,15.304347826086957,2.4347826086956523,2.608695652173913,0.6521739130434783,0.0,0.46,0.875,0.383,52.36
1630644,Mac McClung,Mac,McClung,mac_mcclung,1.6666666666666667,5.3999999999999995,2.1999999999999997,2.4,0.0,0.0,0.48333333333333334,0.19999999999999998,0.12133333333333333,27.08
