Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1641879,Yuri Collins,Yuri,Collins,20.79,2.0,2.0,3.0,4.0,2.0,0.0,33.3,0.0,0.0
1628380,Zach Collins,Zach,Collins,88.57,42.7,271.3,192.0,74.0,19.3,19.3,50.3,88.5,30.2
201144,Mike Conley,Mike,Conley,90.1,71.3,749.7,194.0,406.0,80.0,15.0,42.8,88.2,41.2
1626192,Pat Connaughton,Pat,Connaughton,88.27,59.3,370.0,210.3,102.7,28.7,13.7,43.2,73.1,33.5
1641731,Bilal Coulibaly,Bilal,Coulibaly,88.19,61.0,629.5,275.0,154.5,67.5,44.5,42.8,72.4,31.4
1641741,Ricky Council IV,Ricky,Council IV,87.98,52.5,352.5,130.0,56.5,20.0,7.0,43.2,77.5,31.6
1628470,Torrey Craig,Torrey,Craig,85.49,17.3,72.0,48.7,11.3,5.3,8.0,42.2,68.1,36.1
1642384,Isaiah Crawford,Isaiah,Crawford,39.3,15.0,13.0,8.0,1.0,1.0,2.0,45.5,50.0,20.0
203109,Jae Crowder,Jae,Crowder,86.36,25.7,153.0,83.3,33.0,17.7,5.0,40.6,79.6,35.1
1630595,Cade Cunningham,Cade,Cunningham,88.27,48.0,1158.0,255.7,391.3,45.7,27.3,44.4,85.1,33.0
203552,Seth Curry,Seth,Curry,88.13,40.0,247.3,65.7,39.3,18.0,5.3,43.7,88.9,37.6
201939,Stephen Curry,Stephen,Curry,90.37,66.7,1774.0,327.0,384.0,62.0,26.0,46.4,92.4,41.1
1642359,Pacôme Dadiet,Pacôme,Dadiet,73.41,18.0,30.0,18.0,5.0,3.0,2.0,32.3,66.7,31.6
1630700,Dyson Daniels,Dyson,Daniels,88.26,65.3,551.3,291.0,210.3,119.0,30.3,45.3,62.8,32.2
1642368,N'Faly Dante,N'Faly,Dante,63.27,4.0,24.0,21.0,2.0,1.0,5.0,76.9,80.0,0.0
203076,Anthony Davis,Anthony,Davis,87.2,34.0,840.7,393.3,120.7,39.3,73.3,50.2,75.0,27.1
1631098,Johnny Davis,Johnny,Davis,85.5,37.3,131.7,58.3,23.7,14.3,8.0,40.0,56.7,27.8
1629056,Terence Davis,Terence,Davis,83.59,31.7,247.3,78.0,36.0,22.7,7.7,28.2,53.6,23.2
1631120,JD Davison,JD,Davison,67.43,12.0,22.7,10.7,11.3,2.7,1.3,39.7,65.5,31.2
201942,DeMar DeRozan,DeMar,DeRozan,90.49,76.7,1807.7,327.0,380.0,78.3,37.7,48.7,86.1,32.8
1642484,RayJ Dennis,RayJ,Dennis,79.1,11.0,30.0,12.0,14.0,7.0,2.0,33.3,100.0,28.6
1628978,Donte DiVincenzo,Donte,DiVincenzo,89.61,71.7,886.7,283.3,231.0,92.3,21.0,43.3,78.3,39.8
1631217,Moussa Diabaté,Moussa,Diabaté,86.5,34.7,163.7,170.7,21.3,19.3,16.3,54.4,62.1,16.7
1641711,Gradey Dick,Gradey,Dick,88.74,57.0,643.5,162.5,83.0,41.0,6.0,41.8,86.1,35.8
1631172,Ousmane Dieng,Ousmane,Dieng,86.64,36.3,156.0,79.0,38.0,13.0,6.3,42.5,73.8,29.6
1642265,Rob Dillingham,Rob,Dillingham,80.09,49.0,219.0,50.0,98.0,20.0,1.0,44.1,53.3,33.8
203915,Spencer Dinwiddie,Spencer,Dinwiddie,88.65,61.0,619.3,153.7,257.7,44.7,17.3,40.2,82.9,35.3
1629029,Luka Dončić,Luka,Dončić,87.27,33.3,938.7,272.7,255.3,59.3,14.0,45.1,78.0,36.7
1629652,Luguentz Dort,Luguentz,Dort,89.51,74.7,864.0,307.0,127.3,75.3,36.3,42.0,77.2,37.9
1630245,Ayo Dosunmu,Ayo,Dosunmu,89.8,67.3,725.7,199.0,218.7,57.7,26.7,49.5,80.0,34.8
1630288,Jeff Dowtin Jr.,Jeff,Dowtin Jr.,87.09,26.0,132.7,34.3,45.3,13.3,5.3,49.4,71.7,39.6
1628408,PJ Dozier,PJ,Dozier,81.5,14.3,42.0,27.3,14.7,6.0,2.3,44.5,31.2,36.8
203083,Andre Drummond,Andre,Drummond,87.49,62.0,451.7,487.3,34.7,52.3,31.0,55.4,58.3,5.0
1630537,Chris Duarte,Chris,Duarte,87.26,40.7,209.3,80.3,39.0,17.7,5.7,40.4,79.5,35.4
1642505,Alex Ducas,Alex,Ducas,70.16,21.0,36.0,26.0,5.0,5.0,0.0,40.0,100.0,47.6
1630561,David Duke Jr.,David,Duke Jr.,76.75,11.0,42.3,14.7,10.0,4.3,0.3,48.2,73.5,36.1
1627739,Kris Dunn,Kris,Dunn,88.65,54.0,373.7,180.0,196.0,73.7,21.7,48.2,71.5,39.2
