Player ID,Full Name,First Name,Last Name,Position,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg),Rating,Dollar Value
1630173,Precious Achiuwa,Precious,Achiuwa,precious_achiuwa,43.66666666666666,7.206106870229008,6.137404580152672,1.1603053435114503,0.7099236641221375,0.8396946564885496,0.4953333333333334,0.6026666666666667,0.2716666666666666,43.8,2
203500,Steven Adams,Steven,Adams,steven_adams,58.66666666666666,6.329545454545454,8.931818181818182,2.380681818181818,0.6988636363636364,0.7613636363636364,0.5630000000000001,0.4563333333333334,0.0,44.66,2
1628389,Bam Adebayo,Bam,Adebayo,bam_adebayo,74.66666666666667,19.223214285714285,9.705357142857142,3.8169642857142856,1.1919642857142856,0.8035714285714285,0.5153333333333333,0.7753333333333333,0.2656666666666666,74.16,4
1630534,Ochai Agbaji,Ochai,Agbaji,ochai_agbaji,47.333333333333336,7.901408450704225,3.225352112676056,1.2746478873239435,0.7394366197183099,0.5211267605633803,0.4383333333333333,0.6896666666666667,0.3156666666666666,39.97,1
1630583,Santi Aldama,Santi,Aldama,santi_aldama,67.66666666666667,10.645320197044336,5.610837438423645,2.083743842364532,0.689655172413793,0.6453201970443349,0.4626666666666666,0.6873333333333332,0.3566666666666666,50.04,2
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,nickeil_alexander,66.66666666666667,8.28,2.455,2.515,0.69,0.4499999999999999,0.455,0.7573333333333334,0.3913333333333333,42.88,2
1628960,Grayson Allen,Grayson,Allen,grayson_allen,70.33333333333333,11.582938388625593,3.440758293838863,2.4976303317535544,0.8767772511848342,0.3696682464454977,0.4623333333333333,0.8663333333333334,0.4286666666666667,50.88,3
1628386,Jarrett Allen,Jarrett,Allen,jarrett_allen,75.66666666666667,14.726872246696033,10.02202643171806,2.118942731277533,0.8105726872246696,1.0484581497797356,0.6613333333333333,0.731,0.0333333333333333,63.75,4
1630631,Jose Alvarado,Jose,Alvarado,jose_alvarado,57.66666666666666,8.820809248554914,2.341040462427746,3.248554913294798,1.1560693641618498,0.2254335260115607,0.405,0.7656666666666666,0.3573333333333333,44.3,2
203937,Kyle Anderson,Kyle,Anderson,kyle_anderson,40.66666666666666,5.852459016393443,3.377049180327869,2.377049180327869,0.6557377049180328,0.5409836065573771,0.4706666666666666,0.7313333333333333,0.3516666666666666,40.1,1
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,giannis_antetokounmpo,67.66666666666667,30.6256157635468,11.729064039408865,6.246305418719212,0.9704433497536946,1.024630541871921,0.5883333333333334,0.6396666666666667,0.257,98.45,5
1630175,Cole Anthony,Cole,Anthony,cole_anthony,69.33333333333333,11.288461538461538,3.860576923076924,3.182692307692308,0.701923076923077,0.4807692307692308,0.4376666666666666,0.8476666666666667,0.3516666666666667,50.29,2
1628384,OG Anunoby,OG,Anunoby,og_anunoby,41.333333333333336,16.653225806451612,4.564516129032258,2.185483870967741,1.435483870967742,0.814516129032258,0.4843333333333333,0.7726666666666667,0.38,62.37,3
1630166,Deni Avdija,Deni,Avdija,deni_avdija,74.33333333333333,13.533632286995516,6.946188340807176,3.4887892376681613,0.8789237668161435,0.4484304932735427,0.473,0.753,0.3453333333333333,58.98,3
1629028,Deandre Ayton,Deandre,Ayton,deandre_ayton,54.0,16.660493827160494,10.382716049382717,1.660493827160494,0.7654320987654322,0.8271604938271605,0.575,0.75,0.1933333333333333,66.12,4
1630542,Marcus Bagley,Marcus,Bagley,marcus_bagley,10.0,6.7,7.0,1.0,0.9,1.2,0.391,0.8,0.156,43.69,2
1628963,Marvin Bagley III,Marvin,Bagley III,marvin_bagley_iii,20.666666666666668,4.387096774193548,2.7096774193548385,0.3548387096774193,0.2903225806451612,0.2580645161290322,0.5133333333333333,0.6586666666666666,0.1563333333333333,28.8,1
1628366,Lonzo Ball,Lonzo,Ball,lonzo_ball,41.66666666666666,12.192,4.5680000000000005,4.872,1.544,0.632,0.4009999999999999,0.782,0.3816666666666666,58.48,3
1630163,LaMelo Ball,LaMelo,Ball,lamelo_ball,35.0,24.26666666666667,5.485714285714286,7.866666666666666,1.3333333333333333,0.2666666666666666,0.4163333333333334,0.848,0.3566666666666666,80.98,5
1628964,Mo Bamba,Mo,Bamba,mohamed_bamba,21.33333333333333,4.3125,4.531250000000001,0.5625,0.28125,0.96875,0.458,0.7946666666666667,0.1926666666666666,34.51,1
1631094,Paolo Banchero,Paolo,Banchero,paolo_banchero,66.0,22.383838383838384,7.05050505050505,4.641414141414141,0.8434343434343434,0.5757575757575758,0.4446666666666667,0.73,0.319,73.55,4
1630217,Desmond Bane,Desmond,Bane,desmond_bane,56.333333333333336,21.13017751479289,5.289940828402367,5.047337278106508,1.059171597633136,0.4260355029585798,0.4756666666666667,0.8823333333333334,0.3936666666666666,72.71,4
1630625,Dalano Banton,Dalano,Banton,dalano_banton,40.333333333333336,9.223140495867767,2.586776859504132,2.371900826446281,0.6280991735537189,0.4462809917355371,0.3906666666666666,0.7693333333333333,0.2533333333333333,40.93,1
1631230,Dominick Barlow,Dominick,Barlow,dominick_barlow,32.0,4.1875,3.125,0.8229166666666666,0.3229166666666667,0.5104166666666666,0.5206666666666667,0.682,0.1973333333333333,31.78,1
203084,Harrison Barnes,Harrison,Barnes,harrison_barnes,82.0,13.17479674796748,3.760162601626016,1.475609756097561,0.6097560975609756,0.1463414634146341,0.485,0.819,0.3979999999999999,49.86,2
